Tweet,Sentiment,Timestamp,Keyword,happy,sadness,surprise,anger
Bitch,ANGER,3/8/2018 10:35,word1,100.25,-24.75,-22.25,4
Bonus,HAPPY,3/8/2018 10:58,word1,101.25,-25,-22.5,3.75
Britain has evidently officially gone to the dogs if the socalled prime minister is in Mexico whilst we could have been dealing with  innocent lives lost on  different jetliners,ANGER,3/8/2018 11:22,word1,101,-25.25,-22.75,4.75
but alas they arent yet,SADNESS,3/8/2018 11:25,word1,100.75,-24.25,-23,4.5
But all of a sudden today its hit me that I have all this work due,SURPRISE,3/8/2018 11:35,word1,100.5,-24.5,-22,4.25
But anyway so we watched tv during the morning and when  came by we decided to do laundry and play Burnout,HAPPY,3/8/2018 11:49,word1,101.5,-24.75,-22.25,4
but for now im going to go experience how fabulous the night sky smells,HAPPY,3/8/2018 12:49,word1,102.5,-25,-22.5,3.75
But I am still SOOOOO excited that Ill get to see him for  days,HAPPY,3/8/2018 14:21,word1,103.5,-25.25,-22.75,3.5
But I asked him about WHY he doesnt cook for himself and he said he just doesnt have enough time,SURPRISE,3/8/2018 14:40,word1,103.25,-25.5,-21.75,3.25
Levi is really exciting to be a big brother he thinks she is sooooo cool,HAPPY,3/8/2018 14:48,word1,104.25,-25.75,-22,3
But I love it,HAPPY,3/8/2018 15:21,word1,105.25,-26,-22.25,2.75
But I think about it alot and I wonder exactly when did he decide to die,SURPRISE,3/8/2018 15:23,word1,105,-26.25,-21.25,2.5
But I with my mad Photoshop skills was able to convert it to the corect color space while faithfully maintaining the appearence and detail of the image including the gradations,ANGER,3/8/2018 16:18,word1,104.75,-26.5,-21.5,3.5
but im still laughing a lot,HAPPY,3/8/2018 17:34,word1,105.75,-26.75,-21.75,3.25
But it was a good read and if I did have a dream where I had sex with my mother well now Id know what it means,HAPPY,3/8/2018 17:46,word1,106.75,-27,-22,3
But it was nice to get out to the movies with Holly I dont get to see her very much at all in any role other than as mom and as a single male with no kids its hard to associate myself with parents,HAPPY,3/8/2018 19:18,word1,107.75,-27.25,-22.25,2.75
But its certainly strange how you randomly run in to people you havent seen in years in little holeinthewalls in Europe,SURPRISE,3/8/2018 19:54,word1,107.5,-27.5,-21.25,2.5
D It was really yummy,HAPPY,3/8/2018 20:14,word1,108.5,-27.75,-21.5,2.25
But now I feel much happier and safer and the neighbors all love meDid I mention it was after  every time the breakin occurred,HAPPY,3/8/2018 21:10,word1,109.5,-28,-21.75,2
but oh I was a bad girl and put it on my best buy card,SADNESS,3/8/2018 21:10,word1,109.25,-27,-22,1.75
But other than that I feel really alone right now because its Friday and Im home,SADNESS,3/8/2018 21:53,word1,109,-26,-22.25,1.5
But the rest of it came across as a really angry drunken rant,ANGER,3/8/2018 22:47,word1,108.75,-26.25,-22.5,2.5
but they make my time at work memorable,HAPPY,3/8/2018 22:52,word1,109.75,-26.5,-22.75,2.25
But this one was just full of plot holes that you could drive a truck through,ANGER,3/8/2018 23:55,word1,109.5,-26.75,-23,3.25
But uncle beeve saved the day and fixed a bunch of stuff for me Called it an early Birthday present he is so amazing,HAPPY,3/9/2018 0:24,word1,110.5,-27,-23.25,3
But unlike that said territory children growup at some point and most at least realize that you cant just go around pissing people off,ANGER,3/9/2018 1:34,word1,110.25,-27.25,-23.5,4
D,HAPPY,3/9/2018 1:40,word1,111.25,-27.5,-23.75,3.75
but when I started thinking about things I do regularly that I enjoy thats definitely one of them,HAPPY,3/9/2018 1:59,word1,112.25,-27.75,-24,3.5
but will joyfully be picking the other one up today,HAPPY,3/9/2018 2:21,word1,113.25,-28,-24.25,3.25
By stating our feelings and needs to others we avoid blaming and criticizing them,ANGER,3/9/2018 2:33,word1,113,-28.25,-24.5,4.25
cake  ICECREAM,HAPPY,3/9/2018 2:34,word1,114,-28.5,-24.75,4
Champagne music and me trying to catch those damn flowers,HAPPY,3/9/2018 2:59,word1,115,-28.75,-25,3.75
chris had a problem with words tooand his anger,ANGER,3/9/2018 3:00,word1,114.75,-29,-25.25,4.75
Coffeee and dark chocolate,HAPPY,3/9/2018 3:37,word1,115.75,-29.25,-25.5,4.5
Congratulations and Welcome to Corporate America where the Vice Presidents and Senior Officers and Managers dont hibernate they walk among you,HAPPY,3/9/2018 3:47,word1,116.75,-29.5,-25.75,4.25
didnt catch em by the by Imagine this My bro taking his neck tie off of maries thigh with his teeth while girls just wanna have fun blasts in the background,HAPPY,3/9/2018 3:50,word1,117.75,-29.75,-26,4
couldnt the fucking terrorists decide to get caught you know after i landed,ANGER,3/9/2018 4:21,word1,117.5,-30,-26.25,5
Cue Our Lady Peace  Supermans Dead good song,HAPPY,3/9/2018 4:38,word1,118.5,-30.25,-26.5,4.75
Cyprus was amazing,SURPRISE,3/9/2018 4:55,word1,118.25,-30.5,-25.5,4.5
Denis class on Creed were having a quiz on Heresies in the early church on Saturday morning I was more than happy to be returning home Friday night,HAPPY,3/9/2018 4:59,word1,119.25,-30.75,-25.75,4.25
Despite widespread dissatisfaction among Democrats with the Bush administration and overall Republican governance we detect no real signs so far at least in Harris County of a groundswell to actually vote in November,ANGER,3/9/2018 5:15,word1,119,-31,-26,5.25
didnt see that one coming,SURPRISE,3/9/2018 5:29,word1,118.75,-31.25,-25,5
Didnt think she would do it but hey,SURPRISE,3/9/2018 6:12,word1,118.5,-31.5,-24,4.75
She threatened,ANGER,3/9/2018 6:30,word1,118.25,-31.75,-24.25,5.75
However you spell the Genelli part Ah we talked about Anris ex and her mom mentioned how Anri was angry with her dad the one time the ex visited cos her dad kept him busy most of the day,ANGER,3/9/2018 6:33,word1,118,-32,-24.5,6.75
Do they know how lucky they are  to find contentment without looking,HAPPY,3/9/2018 6:43,word1,119,-32.25,-24.75,6.5
Do you people not listen to the news or what,ANGER,3/9/2018 6:59,word1,118.75,-32.5,-25,7.5
Doctor says not to let them sleep on there belly for a while and thats the only way he sleeps good,HAPPY,3/9/2018 7:08,word1,119.75,-32.75,-25.25,7.25
dont know what the point in that title is for but neh  Ive been sick today and on the verge of tears I dont know why,SADNESS,3/9/2018 7:13,word1,119.5,-31.75,-25.5,7
Earlham is also making me feel more happy than I feel at home,HAPPY,3/9/2018 7:26,word1,120.5,-32,-25.75,6.75
Eh,SURPRISE,3/9/2018 8:27,word1,120.25,-32.25,-24.75,6.5
Ehh Other than that it was a good time,HAPPY,3/9/2018 8:32,word1,121.25,-32.5,-25,6.25
I screened it at VSU in  for my faculty advisors and they seemed fairly stunned by it,SURPRISE,3/9/2018 8:52,word1,121,-32.75,-24,6
Either way Im thinking its looking pretty good,HAPPY,3/9/2018 9:17,word1,122,-33,-24.25,5.75
enjoying it while it lasts,HAPPY,3/9/2018 9:28,word1,123,-33.25,-24.5,5.5
Especially when its a bloody government cheque,ANGER,3/9/2018 9:31,word1,122.75,-33.5,-24.75,6.5
euphoric almost,HAPPY,3/9/2018 10:08,word1,123.75,-33.75,-25,6.25
Even after getting off the phone with her I balled forever,SADNESS,3/9/2018 10:48,word1,123.5,-32.75,-25.25,6
Even just this last week there is a definite change in atmosphere around these parts that is pretty sad,SADNESS,3/9/2018 11:11,word1,123.25,-31.75,-25.5,5.75
even though i wasnt in the right mood aka  my mind was in portland it wasa really good flick,HAPPY,3/9/2018 11:29,word1,124.25,-32,-25.75,5.5
